link,price_num,bedroom,bedroom_num,bathroom_num,area,latitude,longitude,posing time,update time,available time
http://boston.craigslist.org/gbs/fee/6096269424.html,4000,available sep 1,NA,NA,apartment,42.402855,-71.120681,2017-04-20 10:23am,2017-04-30  6:31pm,
http://boston.craigslist.org/gbs/fee/6103623782.html,1700,available may 25,NA,NA,apartment,42.377,-71.1256,2017-04-25 10:39am,2017-04-29 12:45pm,
http://boston.craigslist.org/gbs/nfb/6102724172.html,1500,available may 20,NA,NA,apartment,42.394685,-71.099074,2017-04-24  4:56pm,email to friend,
http://boston.craigslist.org/gbs/fee/6102518322.html,2300,available may 15,NA,NA,apartment,42.400993,-71.11079,2017-04-24  2:53pm,2017-04-30 12:40pm,
http://boston.craigslist.org/gbs/fee/6082343895.html,1550,available may 1,NA,NA,apartment,42.377,-71.1256,2017-04-10 11:37am,2017-04-30  9:34pm,
http://boston.craigslist.org/gbs/nfb/6102995736.html,800,available jun 1,NA,NA,furnished,42.3829,-71.1028,2017-04-24  8:13pm,email to friend,
http://boston.craigslist.org/gbs/abo/6104127836.html,1525,available jun 1,NA,NA,apartment,42.3907,-71.0929,2017-04-25  3:23pm,email to friend,
http://boston.craigslist.org/gbs/fee/6102405234.html,1700,available jul 24,NA,NA,apartment,42.377,-71.1256,2017-04-24  1:50pm,2017-04-29 12:46pm,
http://boston.craigslist.org/gbs/fee/6103837503.html,3400,available aug 15,NA,NA,cats are OK - purrr,42.414063,-71.123064,2017-04-25 12:38pm,2017-05-01 10:14am,
http://boston.craigslist.org/gbs/abo/6103443336.html,750,available apr 25,NA,NA,apartment,42.364108,-71.101521,2017-04-25  8:21am,email to friend,
http://boston.craigslist.org/gbs/fee/6101044346.html,1550,available apr 23,NA,NA,apartment,42.377,-71.1256,2017-04-23  3:13pm,2017-04-30  2:14pm,
http://boston.craigslist.org/gbs/fee/6087798712.html,10800,8BR / 4Ba,8,4,available jun 1,42.377,-71.1256,2017-04-14  7:42am,2017-04-29  8:24pm,apartment
http://boston.craigslist.org/gbs/abo/6099778388.html,2600,890ft2,NA,NA,available jun 1,42.362478,-71.101798,2017-04-22  3:50pm,2017-04-26  7:06pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6087529386.html,6200,7BR / 3Ba,7,3,3000ft2,42.394894,-71.118605,2017-04-13  9:40pm,2017-05-01  9:52pm,available sep 1
http://boston.craigslist.org/gbs/fee/6087480120.html,6200,7BR / 3Ba,7,3,available sep 1,42.394939,-71.118279,2017-04-13  8:49pm,2017-04-30  7:59am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6088949624.html,6200,7BR / 3Ba,7,3,3000ft2,42.4003,-71.1221,2017-04-14 10:33pm,2017-04-29  9:18am,available sep 1
http://boston.craigslist.org/gbs/fee/6087152700.html,6200,7BR / 3Ba,7,3,3000ft2,42.4003,-71.1221,2017-04-13  4:22pm,2017-04-29  9:20am,available sep 1
http://boston.craigslist.org/gbs/fee/6087838634.html,8000,7BR / 2Ba,7,2,available sep 1,42.366229,-71.100579,2017-04-14  8:38am,2017-04-29  8:26pm,apartment
http://boston.craigslist.org/gbs/fee/6102121321.html,8000,7BR / 2Ba,7,2,available sep 1,42.36852,-71.099001,2017-04-24 11:17am,2017-04-26  1:22pm,apartment
http://boston.craigslist.org/gbs/fee/6073912524.html,5100,7BR / 2Ba,7,2,available sep 1,42.38697,-71.101577,2017-04-04  1:07pm,2017-05-01 10:34am,apartment
http://boston.craigslist.org/gbs/nfb/6084471579.html,2340,741ft2,NA,NA,available apr 11,42.368691,-71.079826,2017-04-11  6:23pm,2017-05-01  5:03pm,cats are OK - purrr
http://boston.craigslist.org/gbs/nfb/6096880789.html,2400,740ft2,NA,NA,available apr 20,42.371863,-71.078163,2017-04-20  4:28pm,2017-05-01  5:02pm,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6083855785.html,5700,6BR / 2.5Ba,6,2.5,2900ft2,42.3647,-71.1042,2017-04-11 11:54am,2017-05-01  7:26pm,available jun 1
http://boston.craigslist.org/gbs/fee/6067791327.html,6500,5BR / 4Ba,5,4,available jun 1,42.384764,-71.102829,2017-03-31  8:44am,2017-04-28  9:35am,cats are OK - purrr
http://boston.craigslist.org/gbs/fee/6108484333.html,3700,5BR / 2.5Ba,5,2.5,available sep 1,42.38369,-71.084823,2017-04-28  2:24pm,2017-04-30  3:50pm,apartment
http://boston.craigslist.org/gbs/fee/6075738890.html,3000,5BR / 0Ba,5,0,available sep 1,42.385613,-71.084664,2017-04-05  4:37pm,2017-04-28 11:11am,apartment
http://boston.craigslist.org/gbs/abo/6102168855.html,4000,5BR / 0Ba,5,0,1700ft2,42.4003,-71.1221,2017-04-24 11:42am,2017-04-29 10:47am,available sep 1
http://boston.craigslist.org/gbs/fee/6084150485.html,7500,4BR / 4.5Ba,4,4.5,2700ft2,42.384495,-71.121164,2017-04-11  2:47pm,2017-04-27  7:42am,available may 1
http://boston.craigslist.org/gbs/nfb/6062711941.html,6995,4BR / 3.5Ba,4,3.5,2097ft2,42.379639,-71.122301,2017-03-27  4:09pm,2017-04-26  2:50pm,available may 1
http://boston.craigslist.org/gbs/nfb/6086736459.html,6995,4BR / 3.5Ba,4,3.5,2097ft2,42.380761,-71.120521,2017-04-13 11:58am,2017-04-28 11:10am,available apr 13
http://boston.craigslist.org/gbs/fee/6104116277.html,4100,4BR / 2.5Ba,4,2.5,available jun 1,42.405231,-71.130333,2017-04-25  3:16pm,email to friend,apartment
http://boston.craigslist.org/gbs/fee/6091862739.html,4200,4BR / 2.5Ba,4,2.5,available jun 1,42.405231,-71.130333,2017-04-17 11:44am,2017-04-30  7:43am,apartment
http://boston.craigslist.org/gbs/abo/6075770723.html,3750,3BR / 0Ba,3,0,1300ft2,42.373859,-71.097803,2017-04-05  4:58pm,2017-04-29  4:00pm,available sep 1
http://boston.craigslist.org/gbs/fee/6103943486.html,2800,3BR / 0Ba,3,0,available apr 25,42.37882,-71.104064,2017-04-25  1:36pm,email to friend,apartment
http://boston.craigslist.org/gbs/abo/6102467071.html,2795,3BR / 0Ba,3,0,available sep 1,42.381,-71.090932,2017-04-24  2:24pm,2017-04-28 12:18pm,apartment
http://boston.craigslist.org/gbs/abo/6087858900.html,3100,3BR / 0Ba,3,0,available sep 1,42.385298,-71.107635,2017-04-14  9:00am,2017-04-29  8:05am,apartment
http://boston.craigslist.org/gbs/abo/6099783265.html,3150,3BR / 0Ba,3,0,available sep 1,42.385298,-71.107635,2017-04-22  3:53pm,2017-04-29 12:50am,apartment
http://boston.craigslist.org/gbs/nfb/6085497879.html,950,2BR / sharedBa,2,1,1000ft2,42.405512,-71.129877,2017-04-12  1:46pm,2017-05-01 10:46am,available jun 1
http://boston.craigslist.org/gbs/fee/6075460320.html,5925,2BR / 7Ba,2,7,available sep 1,42.402292,-71.114355,2017-04-05  1:44pm,2017-04-30  2:35pm,cats are OK - purrr
http://boston.craigslist.org/gbs/abo/6103093050.html,800,1BR / 2Ba,1,2,available may 1,42.393196,-71.112506,2017-04-24  9:37pm,email to friend,apartment
http://boston.craigslist.org/gbs/nfb/6106942504.html,1000,1BR / 2Ba,1,2,available jun 1,42.406759,-71.124952,2017-04-27  1:32pm,email to friend,apartment
http://boston.craigslist.org/gbs/abo/6103072109.html,1250,1350ft2,NA,NA,available jun 1,42.3829,-71.1028,2017-04-24  9:18pm,email to friend,apartment
http://boston.craigslist.org/gbs/fee/6060707510.html,9800,8BR / 3Ba,8,3,3000ft2,42.356282,-71.114208,2017-03-26 10:09am,2017-04-24 12:39pm,available sep 1
http://boston.craigslist.org/gbs/fee/6081808438.html,9999,8BR / 3Ba,8,3,3000ft2,42.356282,-71.114208,2017-04-09 11:08pm,2017-04-26  1:36am,available sep 1
http://boston.craigslist.org/gbs/fee/6070796517.html,9800,8BR / 3Ba,8,3,3000ft2,42.356282,-71.114208,2017-04-02 11:12am,2017-04-28  8:30am,available sep 1
http://boston.craigslist.org/gbs/fee/6099447336.html,9600,8BR / 3Ba,8,3,available sep 1,42.356282,-71.114208,2017-04-22 12:29pm,2017-05-01  4:42pm,apartment
http://boston.craigslist.org/gbs/fee/6080420310.html,9800,8BR / 3Ba,8,3,3000ft2,42.356282,-71.114208,2017-04-08  9:49pm,2017-04-29  3:01pm,available sep 1
http://boston.craigslist.org/gbs/fee/6081503171.html,9800,8BR / 3Ba,8,3,3000ft2,42.356282,-71.114208,2017-04-09  6:20pm,2017-04-29 12:16pm,available sep 1
http://boston.craigslist.org/gbs/fee/6085473886.html,9800,8BR / 3Ba,8,3,2200ft2,42.373317,-71.126422,2017-04-12  1:32pm,2017-04-29 11:24am,available sep 1
http://boston.craigslist.org/gbs/fee/6090757152.html,5800,6BR / 2Ba,6,2,available sep 1,42.363332,-71.108,2017-04-16  1:14pm,2017-04-27  9:04pm,dogs are OK - wooof
http://boston.craigslist.org/gbs/fee/6090759662.html,5800,6BR / 2Ba,6,2,available sep 1,42.363871,-71.109867,2017-04-16  1:17pm,2017-04-27  5:03am,dogs are OK - wooof
http://boston.craigslist.org/gbs/fee/6092819882.html,5800,6BR / 2Ba,6,2,available sep 1,42.36514,-71.107292,2017-04-17 10:16pm,2017-04-28  7:34pm,dogs are OK - wooof
http://boston.craigslist.org/gbs/fee/6098534732.html,6000,6BR / 2Ba,6,2,available sep 1,42.384259,-71.110986,2017-04-21  6:23pm,2017-04-28  9:23pm,cats are OK - purrr
