title,link,description,price,bedroom,area,latitude,longitude,posing time,update time,available time
"Tufts Med; BU Med, Longwood 3, 4 & 5 bed Orange line 9/1",http://boston.craigslist.org/gbs/abo/6103684387.html,"Idea units for BU and Tuft Med and dental school right on the Orange Line Forest Hills T in Jamaica Plain. Great for Longwood medical area on the BI shuttle. 3 4 or 5 beds!! priced from $2,500 to...",$2500,3BR / 1Ba,1000ft2,42.3126,-71.1115,2017-04-25 11:14am,2017-04-30 11:47am,available may 1
"Manufactured Home, 3 bath, 3 Bedrooms, Dishwasher, Home Theater, Magni",http://boston.craigslist.org/gbs/fee/6087427399.html,"Carlisle Harvard Brattleboro Hooksett Epsom Chesterfield Tuscany Terrace Condos in Edison Park! Come See this Spacious, Sunny, South Facing Unit! Large Bedrooms Big Enough to Fit a King Size Bed....",$875,3BR / 2.5Ba,2056ft2,42.3253,-71.1122,2017-04-13  7:59pm,2017-05-01 10:45am,available apr 13
"2 Bd on , Pet Ok, Exposed Brick, Modern Bath, High Ceiling, Modern Kit",http://boston.craigslist.org/gbs/fee/6082382804.html,"ID: 136215 Location: Hammond St., Boston (South End) Rent: $2600 / Month Available Date: 09/01/2017 Beds: 2 Baths: 1 Pet: Pet Friendly Rent Includes: Hot Water Features: Dishwasher, Exposed Brick,...",$2600,2BR / 1Ba,922ft2,42.334355,-71.082026,2017-04-10 11:58am,2017-05-01  1:41pm,available sep 1
"1 Bd on , Stainless Steel Appliance(s), Private Patio, Corner Building",http://boston.craigslist.org/gbs/fee/6072321373.html,"ID: 1960323 Location: worcester sq, Boston (South End) Rent: $2300 / Month Available Date: 06/01/2017 Beds: 1 Baths: 1 Pet: No Pet Rent Includes: Gas, Heat, Hot Water Features: Corner Building,...",$2300,1BR / 1Ba,450ft2,42.33597,-71.073825,2017-04-03 12:24pm,2017-05-01  1:41pm,available jun 1
"South End, Luxury finishes, ALL UTILITIES INCLUDED!!",http://boston.craigslist.org/gbs/fee/6104318543.html,"*Unique Open Floor Plans and Luxury Finishes *All Utilities and Resident Parking Included in Monthly Rent *Smoke-Free Living Environment *Each Unit has a Unique Floor Plan and We Offer One, Two and...",$2600,1BR / 1Ba,available may 1,42.3362,-71.0729,2017-04-25  5:23pm,2017-04-28  9:34pm,cats are OK - purrr
"2 Bd on , Dishwasher, Deck, Modern Bath, Modern Kitchen, Hardwood Floo",http://boston.craigslist.org/gbs/fee/6072304445.html,"ID: 72607 Location: Washington St., Boston (South End) Rent: $3000 / Month Available Date: 07/01/2017 Beds: 2 Baths: 1 Pet: No Pet Features: Deck, Dishwasher, Disposal, Exposed Brick, Hardwood...",$3000,2BR / 1Ba,available jul 1,42.336527,-71.076941,2017-04-03 12:15pm,2017-05-01  1:41pm,apartment
"2 Bd on , Microwave, New Appliances, New/Renovated Bath, A/C, Pantry,",http://boston.craigslist.org/gbs/fee/6082395177.html,"ID: 2144436 Location: Massachusetts Ave., Boston (South End) Rent: $3500 / Month Available Date: 09/01/2017 Beds: 2 Baths: 1 Pet: Negotiable Features: A/C, Central Air, Dishwasher, Disposal, Exposed...",$3500,2BR / 1Ba,available sep 1,42.336527,-71.076941,2017-04-10 12:05pm,2017-05-01  1:41pm,cats are OK - purrr
"2 Bd on , Laundry in Unit, Parking For Rent, Hardwood Floors, Disposal",http://boston.craigslist.org/gbs/fee/6082395580.html,"ID: 2144443 Location: Massachusetts Ave., Boston (South End) Rent: $3500 / Month Available Date: 09/01/2017 Beds: 2 Baths: 1 Pet: Negotiable Features: A/C, Central Air, Dishwasher, Disposal, Exposed...",$3500,2BR / 1Ba,available sep 1,42.336527,-71.076941,2017-04-10 12:05pm,2017-05-01  1:41pm,cats are OK - purrr
"2 Bd on , 2 Bath, Parking For Rent",http://boston.craigslist.org/gbs/fee/6066570761.html,"ID: 1311933 Location: Massachusetts, Boston (South End) Rent: $3500 / Month Available Date: 06/01/2017 Beds: 2 Baths: 2 Pet: Negotiable Features: Parking For Rent Darby Jones Regatta Realty 2 Museum...",$3500,2BR / 2Ba,available jun 1,42.336527,-71.076941,2017-03-30 11:25am,2017-04-24 11:47am,cats are OK - purrr
Studio on,http://boston.craigslist.org/gbs/fee/6082378122.html,"ID: 80095 Location: Tremont St., Boston (South End) Rent: $1490 / Month Available Date: 09/01/2017 Beds: Studio Baths: 1 Rent Includes: Hot Water Darby Jones Regatta Realty 2 Museum Way Cambridge, MA ",$1490,0BR / 1Ba,available sep 1,42.338154,-71.082477,2017-04-10 11:56am,2017-05-01  1:41pm,apartment
